staycation-worker
date,stream,content
2026/03/22 10:35:55,stdout,Hz No monitoring jobs due at this time.

2026/03/22 10:35:55,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/22 09:35:55,stdout,Hz No monitoring jobs due at this time.

2026/03/22 09:35:55,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/22 08:35:55,stdout,Hz No monitoring jobs due at this time.

2026/03/22 08:35:55,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/22 07:35:55,stdout,Hz No monitoring jobs due at this time.

2026/03/22 07:35:55,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/22 06:36:37,stdout,✅ Insight job insight:a7e90a7b-2af1-4145-82b9-bdc13eea9f37:2026-03-22 completed

2026/03/22 06:36:37,stdout,📧 Queued 9 alert jobs

2026/03/22 06:36:37,stdout,✅ Generated 9 insights for fingerprint a7e90a7b-2af1-4145-82b9-bdc13eea9f37

2026/03/22 06:36:37,stdout,Insight already exists for dedupe key: 7fd9624bf084d9c888777743ce7e5b42a5abd3044d9717bcf67ae9792d32c40a

2026/03/22 06:36:37,stdout,Updated deal for series fe090f9442025d5193ca50292ffb7b3da2b99b27d53e2a7bee650d00c57a7a51

2026/03/22 06:36:36,stdout,Insight already exists for dedupe key: 533ceffda30ec13b5dec615394be80940f7474c444311881db77cac88d27b493

2026/03/22 06:36:36,stdout,Updated deal for series 181d81e67940cae49ec5be62a1fbf5aee277aa48034a3f5fd2284af488d1e8f9

2026/03/22 06:36:36,stdout,Insight already exists for dedupe key: 73c535516c583fa48265e95665b102606d1b1aa2d6637cf527302a01a93fa2b1

2026/03/22 06:36:36,stdout,Updated deal for series c2d477735e9b3312d072e1e5251e5bf81f79fa2303986eed3e6b8c4dab1547b9

2026/03/22 06:36:35,stdout,Insight already exists for dedupe key: 5ab53649a77a83fcb7a5028f4161e236e5f741467ec278d7fb1d290c503c6b69

2026/03/22 06:36:35,stdout,Updated deal for series 8a82ac00b4bbde1a44a73dc944a1a8c684853e373984f100f4035b9552b0e938

2026/03/22 06:36:35,stdout,Insight already exists for dedupe key: 3eab2e8a714c253a555b1a8e1190f851129d71c6213ccd3773094d3997be22a4

2026/03/22 06:36:35,stdout,Updated deal for series e8aebc26fddb7e95ef523ebc48dfeb1c9ec85138f93059e68f4ce143def04020

2026/03/22 06:36:34,stdout,Insight already exists for dedupe key: a54f19ca4f4dc6003969276f16c47a9f1de9b35cc2d5568c1dfd728eeb007f9d

2026/03/22 06:36:34,stdout,Updated deal for series f2f293388778b00ca2a4eff09aea696171917e6d9c54d43e89772ced65566a05

2026/03/22 06:36:34,stdout,Insight already exists for dedupe key: 01399c0ccb02ccb1573a425d196a46b3493515c81286570a94800c6884e5309b

2026/03/22 06:36:34,stdout,Updated deal for series 3bd5114ecb54b9af00d93f839307aad0d429c856d8bd5c7c3f125ee0ad00694c

2026/03/22 06:36:34,stdout,Insight already exists for dedupe key: 05c2630a8a4595acaa87dcabb5ac9a7add3ac63565a91a75896ca17981a7b4ce

2026/03/22 06:36:34,stdout,Updated deal for series 81fdc95401e2a1338c2139bb82b7fa3df841f2e2cd6415dd6458d4f56bacb682

2026/03/22 06:36:34,stdout,Insight already exists for dedupe key: 66b9877281acc537e9c349934852b4a160c191cdc5ec1cf751328cb54a1cf1c6

2026/03/22 06:36:34,stdout,Updated deal for series 6aebc5764ccc32ed53fe6877374b360e348058e88f3e7bdc170383bc612ba35b

2026/03/22 06:36:34,stdout,✅ Monitor job 0dc260b97464c6e2a51109f432958ce2764744c6b17b527822d10a6783cdabfa completed

2026/03/22 06:36:33,stdout,Found 43 distinct series for fingerprint a7e90a7b-2af1-4145-82b9-bdc13eea9f37

2026/03/22 06:36:33,stdout,🧠 Generating insights for fingerprint a7e90a7b-2af1-4145-82b9-bdc13eea9f37

2026/03/22 06:36:33,stdout,💾 Stored 466/466 observations

2026/03/22 06:36:07,stdout,✅ Found 466 results for fingerprint a7e90a7b-2af1-4145-82b9-bdc13eea9f37

2026/03/22 06:35:55,stdout,Fetching search results from: https://www.awayresorts.co.uk/search/?parkID=7&from=2026-08-17&to=2026-08-24&adults=4&children=0

2026/03/22 06:35:55,stdout,🔍 Monitoring fingerprint a7e90a7b-2af1-4145-82b9-bdc13eea9f37 via 14940977-4200-4ca0-a517-66846b353c2b

2026/03/22 06:35:55,stdout,⏰ Queued daily deal scan (idempotent)

2026/03/22 06:35:55,stdout,✅ Successfully scheduled 1 monitor jobs.

2026/03/22 06:35:55,stdout,⏰ Found 1 fingerprints due for monitoring.

2026/03/22 06:35:55,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/22 05:35:55,stdout,Hz No monitoring jobs due at this time.

2026/03/22 05:35:55,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/22 04:36:22,stdout,✅ Deal job deal-scan:ALL:2026-03-22 completed

2026/03/22 04:36:22,stdout,✅ Global deal scan completed.

2026/03/22 04:36:22,stdout,   Found 0 offers from awayresorts

2026/03/22 04:36:17,stdout,🛍️ Scanning deals for Away Resorts...

2026/03/22 04:36:17,stdout,   Found 0 offers from parkdean

2026/03/22 04:36:12,stdout,🛍️ Scanning deals for Parkdean Resorts...

2026/03/22 04:36:12,stdout,   Saved 0 new deals for butlins

2026/03/22 04:36:10,stdout,✅ Insight job insight:691c4b36-25e7-418a-915c-1dec235d5968:2026-03-22 completed

2026/03/22 04:36:10,stdout,📧 Queued 8 alert jobs

2026/03/22 04:36:10,stdout,✅ Generated 8 insights for fingerprint 691c4b36-25e7-418a-915c-1dec235d5968

2026/03/22 04:36:10,stdout,Insight already exists for dedupe key: 334f4e04b4b4a877d05b78c9e53ea871062f08bd4f55f9040c1a5c4c3dc0eab1

2026/03/22 04:36:10,stdout,Updated deal for series fe96817dadd82bf2c04aae98f38da7fb6b42a3c86c56800e402573e30cb2224f

2026/03/22 04:36:09,stdout,Insight already exists for dedupe key: 9678a836b3173df79b53b375d714aadccb922924b171362b5d822553478256e4

2026/03/22 04:36:09,stdout,Updated deal for series e8d3430fbe811bee6d7095e7a51c5b4a331cd66523024bc62e0a23cc56451bc6

2026/03/22 04:36:09,stdout,Insight already exists for dedupe key: 7721ab35509612842694020385228c15d5dd6c18838b81ab31a667cf3a3cea4c

2026/03/22 04:36:09,stdout,Updated deal for series d3e5a8221657308b29b2940f5da6fc2d6726defb23e7653a5f993a966d3e87cb

2026/03/22 04:36:09,stdout,Insight already exists for dedupe key: bafc9a85f5642587ea41f54149570e59f4866f3868b67ac4724aaef008422fc5

2026/03/22 04:36:09,stdout,Updated deal for series b8286ecff0a3ea45352877553c0975b39c6aa21a24a3c71a29f6c17d3adb1ca4

2026/03/22 04:36:09,stdout,Insight already exists for dedupe key: 305e5651f0f1edab87499782e292f1f075792464bfd7ba9002577268005dcf4a

2026/03/22 04:36:09,stdout,Updated deal for series 8df355cdb1fff022853668888b0541ce54f6ed7ef834e7d0209063378ab30b3a

2026/03/22 04:36:09,stdout,Insight already exists for dedupe key: 89e06abc9ae5f5ecce9fed599bd76adfd599e9fdeb26bda3b6f42ed8c9a53524

